year;indicator;perspective;group;country;amount;unit;population;region;ocde
2013;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.61486;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;25.56705;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;12.74666;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;4.77746;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.85898;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.68906;Million tonnes CO2 eq.;69.6928599;East Asia;no
2014;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.57947;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;23.94451;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;12.0826;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;4.26912;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.97713;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.19063;Million tonnes CO2 eq.;69.6928599;East Asia;no
2015;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.51858;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;22.66115;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;11.97691;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;4.05738;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.97489;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.32906;Million tonnes CO2 eq.;69.6928599;East Asia;no
2016;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.51825;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;21.0078;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;11.69849;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.58974;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.97482;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.56174;Million tonnes CO2 eq.;69.6928599;East Asia;no
2017;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.51839;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;21.49972;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;13.92256;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.70805;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.97449;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.8337;Million tonnes CO2 eq.;69.6928599;East Asia;no
2018;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.51741;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Consumption footprint;CH4;Albania;7.29905;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1990;Climate Change (Short-Term);Consumption footprint;CO2;Albania;12.41572;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1990;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.67831;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1990;Climate Change (Short-Term);Domestic production;CH4;Albania;4.10477;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1990;Climate Change (Short-Term);Domestic production;CO2;Albania;5.85387;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1990;Climate Change (Short-Term);Domestic production;N2O;Albania;1.11297;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Consumption footprint;CH4;Albania;5.07329;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Consumption footprint;CO2;Albania;4.12839;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.07719;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Domestic production;CH4;Albania;3.85742;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Domestic production;CO2;Albania;3.70667;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1991;Climate Change (Short-Term);Domestic production;N2O;Albania;0.8684;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Consumption footprint;CH4;Albania;5.53537;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Consumption footprint;CO2;Albania;3.53381;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.16583;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Domestic production;CH4;Albania;3.64067;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Domestic production;CO2;Albania;1.85802;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1992;Climate Change (Short-Term);Domestic production;N2O;Albania;0.82935;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Consumption footprint;CH4;Albania;5.5363;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Consumption footprint;CO2;Albania;3.06846;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.16344;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Domestic production;CH4;Albania;3.76868;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Domestic production;CO2;Albania;1.77031;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1993;Climate Change (Short-Term);Domestic production;N2O;Albania;0.89636;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Consumption footprint;CH4;Albania;6.41388;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Consumption footprint;CO2;Albania;2.55351;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.30683;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Domestic production;CH4;Albania;4.82604;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Domestic production;CO2;Albania;1.8466;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1994;Climate Change (Short-Term);Domestic production;N2O;Albania;1.11391;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Consumption footprint;CH4;Albania;6.37967;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Consumption footprint;CO2;Albania;2.38683;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.22651;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Domestic production;CH4;Albania;4.46667;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Domestic production;CO2;Albania;1.4925;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1995;Climate Change (Short-Term);Domestic production;N2O;Albania;1.07669;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1996;Climate Change (Short-Term);Consumption footprint;CH4;Albania;6.09007;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1996;Climate Change (Short-Term);Consumption footprint;CO2;Albania;2.32742;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1996;Climate Change (Short-Term);Consumption footprint;N2O;Albania;1.17938;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
1996;Climate Change (Short-Term);Domestic production;CH4;Albania;4.24364;Million tonnes CO2 eq.;6.193258448;Eastern Europe;no
